"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 16:13:47 IST 2025","Thu Apr 17 16:13:49 IST 2025","2292","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario5","testcase.PermanentResidentScenario5","login","login",""
"passed","Thu Apr 17 16:12:34 IST 2025","Thu Apr 17 16:12:37 IST 2025","2292","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario4","testcase.PermanentResidentScenario4","login","login",""
"passed","Thu Apr 17 16:11:28 IST 2025","Thu Apr 17 16:11:31 IST 2025","2301","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario3","testcase.PermanentResidentScenario3","login","login",""
"passed","Thu Apr 17 16:13:53 IST 2025","Thu Apr 17 16:14:47 IST 2025","54150","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario5","testcase.PermanentResidentScenario5","scenario1","scenario1",""
"passed","Thu Apr 17 16:09:20 IST 2025","Thu Apr 17 16:09:22 IST 2025","2310","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario1","testcase.PermanentResidentScenario1","login","login",""
"passed","Thu Apr 17 16:09:11 IST 2025","Thu Apr 17 16:09:17 IST 2025","5634","All Test Suite","EDRMC Portal UI Automation","testcase.LoginPage","testcase.LoginPage","resetPassword","resetPassword",""
"passed","Thu Apr 17 16:10:23 IST 2025","Thu Apr 17 16:10:25 IST 2025","2233","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario2","testcase.PermanentResidentScenario2","login","login",""
"passed","Thu Apr 17 16:09:26 IST 2025","Thu Apr 17 16:10:18 IST 2025","52659","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario1","testcase.PermanentResidentScenario1","scenario1","scenario1",""
"passed","Thu Apr 17 16:11:34 IST 2025","Thu Apr 17 16:12:31 IST 2025","56688","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario3","testcase.PermanentResidentScenario3","scenario3","scenario3",""
"passed","Thu Apr 17 16:12:41 IST 2025","Thu Apr 17 16:13:43 IST 2025","61732","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario4","testcase.PermanentResidentScenario4","scenario4","scenario4",""
"passed","Thu Apr 17 16:08:47 IST 2025","Thu Apr 17 16:08:50 IST 2025","3013","All Test Suite","EDRMC Portal UI Automation","testcase.LoginPage","testcase.LoginPage","login","login",""
"passed","Thu Apr 17 16:10:29 IST 2025","Thu Apr 17 16:11:25 IST 2025","56398","All Test Suite","EDRMC Portal UI Automation","testcase.PermanentResidentScenario2","testcase.PermanentResidentScenario2","scenario2","scenario2",""
"passed","Thu Apr 17 16:08:54 IST 2025","Thu Apr 17 16:08:56 IST 2025","1857","All Test Suite","EDRMC Portal UI Automation","testcase.LoginPage","testcase.LoginPage","login","login",""
"passed","Thu Apr 17 16:09:00 IST 2025","Thu Apr 17 16:09:08 IST 2025","8498","All Test Suite","EDRMC Portal UI Automation","testcase.LoginPage","testcase.LoginPage","resetPassword","resetPassword",""
